prompt_id,prompt
0,Write a detailed explanation of how renewable energy technologies work.
1,Describe the social impact of artificial intelligence in modern society.
2,Explain the process of natural selection using simple language.
3,Write a short essay about the challenges of urban transportation.
4,Describe how machine learning models are trained and evaluated.
5,Write a narrative paragraph describing a futuristic city.
6,Explain why biodiversity is important for ecological stability.
7,Write an argument supporting the use of open-source software in education.
8,Summarize the main challenges in global climate policy.
9,Describe the daily life of a scientist working in a research laboratory.
