split,model,top_features,removed_words
PromptHeldout,LR_CharNgram,"[('car', np.float64(2.9085479914547485)), (' car', np.float64(2.8778568676312735)), ('apo', np.float64(-2.8335294719622413)), ('pos;', np.float64(-2.693426605244737)), ('apos;', np.float64(-2.693426605244737)), ('os;', np.float64(-2.6930126188687757)), ('apos', np.float64(-2.690944530728738)), ('youn', np.float64(-2.6466161408561866)), ('&apo', np.float64(-2.6454257344808627)), ('&apos', np.float64(-2.6454257344808627)), ('&ap', np.float64(-2.6454257344808627)), ('young', np.float64(-2.6383333936745186)), ('oung', np.float64(-2.63061985664577)), (' youn', np.float64(-2.5311857313047823)), ('ung', np.float64(-2.5301305257258577)), ('cars', np.float64(2.170188833137494)), ('oung ', np.float64(-2.1549266707472086)), (' cars', np.float64(2.1263210237589814)), ('ung ', np.float64(-2.114808519210805)), ('ung p', np.float64(-2.0885628381304953))]",
PromptHeldout,LR_WordNgram,"[('apos', np.float64(-8.30812728787579)), ('young', np.float64(-5.412825091968274)), ('knowledge', np.float64(-4.934266584804619)), ('young people', np.float64(-4.7258988380955165)), ('car', np.float64(4.5603692462352745)), ('cars', np.float64(4.556207185507115)), ('quot', np.float64(-4.548359029039415)), ('successful', np.float64(-4.077139330133375)), ('driving', np.float64(4.059963688013476)), ('school', np.float64(3.9801580423286245)), ('risks', np.float64(-3.969568129573227)), ('seagoing', np.float64(3.927984571689847)), ('communities', np.float64(-3.8737556154819495)), ('community', np.float64(-3.8301699572262846)), ('guide', np.float64(-3.784152754952146)), ('subjects', np.float64(-3.777302163791911)), ('emotions', np.float64(3.721809808738818)), ('face', np.float64(3.6433850790666154)), ('students', np.float64(3.595363808974415)), ('subject', np.float64(-3.57616892577716))]",
PromptHeldout,SVM_WordNgram,"[('apos', np.float64(-2.634172343769514)), ('young', np.float64(-1.678923422300219)), ('statement', np.float64(-1.5735239068131326)), ('young people', np.float64(-1.530379920083701)), ('communities', np.float64(-1.4829075612926956)), ('summer', np.float64(1.4172966234179702)), ('cars', np.float64(1.414177757727056)), ('driving', np.float64(1.412466086562565)), ('travel', np.float64(-1.4062786436985346)), ('seagoing', np.float64(1.3812469217894456)), ('risks', np.float64(-1.334210393247316)), ('luke', np.float64(1.3113738776624768)), ('subjects', np.float64(-1.3106549960002842)), ('community', np.float64(-1.2847489216515995)), ('knowledge', np.float64(-1.2824770284471452)), ('emotions', np.float64(1.240200962958928)), ('quot', np.float64(-1.2287257634166102)), ('agree', np.float64(-1.2132202562795589)), ('animals', np.float64(1.2058111704293144)), ('online', np.float64(1.1692793493559874))]",
PromptHeldout,LR_CharNgram_noTopWords,"[(' old', np.float64(-5.09308369565134)), (' ol', np.float64(-5.058559368782522)), ('old', np.float64(-3.5646405385993796)), (' &;', np.float64(-3.1157925065752603)), ('munit', np.float64(-2.944019836293544)), ('lder', np.float64(-2.941662478134295)), ('lde', np.float64(-2.902929133058318)), (' old ', np.float64(-2.858579686517424)), (' a ', np.float64(2.7873572071551225)), ('isk', np.float64(-2.7721839612426145)), ('risk', np.float64(-2.7654508864629954)), (' risk', np.float64(-2.7576378949917166)), (' olde', np.float64(-2.6957370432586565)), ('older', np.float64(-2.683627067475495)), ('&;s', np.float64(-2.68256250217494)), ('olde', np.float64(-2.6778388143087555)), ('lder ', np.float64(-2.6503636237898798)), (';s ', np.float64(-2.531002879155184)), (' ris', np.float64(-2.5039388484538776)), ('&;s ', np.float64(-2.4999961037394742))]","['students', 'people', 'school', 'electoral', 'car', 'help', 'student', 'vote', 'time', 'think', 'cars', 'college', 'like', 'technology', 'electoral college', 'life', 'just', 'new', 'young', 'face', 'know', 'emotions', 'use', 'things', 'work', 'president', 'computer', 'make', 'way', 'phones', 'driving', 'facial', 'want', 'good', 'seagoing', 'young people', 'teacher', 'able', 'don', 'better', 'need', 'teachers', 'world', 'states', 'class', 'person', 'phone', 'learning', 'home', 'knowledge', 'cell', 'day', 'summer', 'really', 'project', 'going', 'learn', 'apos', 'different', 'classroom', 'program', 'electors', 'luke', 'feel', 'lot', 'online', 'having', 'example', 'projects', 'kids', 'classes', 'votes', 'reason', 'enjoy', 'animals', 'thing', 'tell', 'doing', 'say', 'fun', 'subject', 'sports', 'try', 'change', 'mars', 'cowboys', 'feeling', 'coding', 'action', 'human', 'state', 'believe', 'read', 'text', 'using', 'average', 'happy', 'policy', 'used', 'free']"
PromptHeldout,LR_WordNgram_noTopWords,"[('older', np.float64(-9.21056133498428)), ('successful', np.float64(-7.468261512961524)), ('quot', np.float64(-7.131983639154619)), ('communities', np.float64(-7.059234093169217)), ('risks', np.float64(-6.928734302347278)), ('old', np.float64(-6.609530875301041)), ('subjects', np.float64(-6.58726357681299)), ('community', np.float64(-5.60262345567345)), ('guide', np.float64(-5.372045466959003)), ('broad', np.float64(-5.150198696066565)), ('tour', np.float64(-5.140279892251886)), ('statement', np.float64(-4.967864482237507)), ('designed', np.float64(4.736537232876751)), ('academic', np.float64(-4.438662525469679)), ('success', np.float64(-4.34355535545557)), ('language', np.float64(-4.284203796873432)), ('risk', np.float64(-4.27073059191646)), ('english', np.float64(-4.192029050350508)), ('tour guide', np.float64(-4.120772912744391)), ('specific', np.float64(-4.0498474280059416))]","['students', 'people', 'school', 'electoral', 'car', 'help', 'student', 'vote', 'time', 'think', 'cars', 'college', 'like', 'technology', 'electoral college', 'life', 'just', 'new', 'young', 'face', 'know', 'emotions', 'use', 'things', 'work', 'president', 'computer', 'make', 'way', 'phones', 'driving', 'facial', 'want', 'good', 'seagoing', 'young people', 'teacher', 'able', 'don', 'better', 'need', 'teachers', 'world', 'states', 'class', 'person', 'phone', 'learning', 'home', 'knowledge', 'cell', 'day', 'summer', 'really', 'project', 'going', 'learn', 'apos', 'different', 'classroom', 'program', 'electors', 'luke', 'feel', 'lot', 'online', 'having', 'example', 'projects', 'kids', 'classes', 'votes', 'reason', 'enjoy', 'animals', 'thing', 'tell', 'doing', 'say', 'fun', 'subject', 'sports', 'try', 'change', 'mars', 'cowboys', 'feeling', 'coding', 'action', 'human', 'state', 'believe', 'read', 'text', 'using', 'average', 'happy', 'policy', 'used', 'free']"
PromptHeldout,SVM_WordNgram_noTopWords,"[('older', np.float64(-2.5533182698292505)), ('communities', np.float64(-2.5500170339190382)), ('risks', np.float64(-2.2544531933550402)), ('statement', np.float64(-2.072815886216747)), ('old', np.float64(-2.03043776480738)), ('broad', np.float64(-2.0167545452050577)), ('nowadays', np.float64(-1.99901548679544)), ('cowboy', np.float64(1.9540716133125455)), ('subjects', np.float64(-1.8421817005469674)), ('designed', np.float64(1.8405176475008282)), ('successful', np.float64(-1.8229766720839657)), ('dear', np.float64(1.6722062402267368)), ('join', np.float64(1.6596924736453353)), ('benefit', np.float64(1.643062730918205)), ('community', np.float64(-1.627028777867431)), ('risk', np.float64(-1.6228224683865058)), ('agree', np.float64(-1.4570495048557544)), ('attend', np.float64(1.449866033958504)), ('tour', np.float64(-1.437541473719845)), ('grades', np.float64(1.4349150504171526))]","['students', 'people', 'school', 'electoral', 'car', 'help', 'student', 'vote', 'time', 'think', 'cars', 'college', 'like', 'technology', 'electoral college', 'life', 'just', 'new', 'young', 'face', 'know', 'emotions', 'use', 'things', 'work', 'president', 'computer', 'make', 'way', 'phones', 'driving', 'facial', 'want', 'good', 'seagoing', 'young people', 'teacher', 'able', 'don', 'better', 'need', 'teachers', 'world', 'states', 'class', 'person', 'phone', 'learning', 'home', 'knowledge', 'cell', 'day', 'summer', 'really', 'project', 'going', 'learn', 'apos', 'different', 'classroom', 'program', 'electors', 'luke', 'feel', 'lot', 'online', 'having', 'example', 'projects', 'kids', 'classes', 'votes', 'reason', 'enjoy', 'animals', 'thing', 'tell', 'doing', 'say', 'fun', 'subject', 'sports', 'try', 'change', 'mars', 'cowboys', 'feeling', 'coding', 'action', 'human', 'state', 'believe', 'read', 'text', 'using', 'average', 'happy', 'policy', 'used', 'free']"
RandomSplit,LR_CharNgram,"[('driv', np.float64(3.312080923198585)), ('dri', np.float64(3.1402018220761865)), (' driv', np.float64(3.0646007156893655)), ('riv', np.float64(2.9318247571254696)), (' dri', np.float64(2.9089021030766706)), ('youn', np.float64(-2.862203863727138)), ('young', np.float64(-2.8561118006627475)), ('oung', np.float64(-2.8463744011094314)), ('ung', np.float64(-2.745571433136519)), (' youn', np.float64(-2.7120073402781086)), (' dr', np.float64(2.653227593014067)), ('apo', np.float64(-2.647882962090483)), (' in', np.float64(-2.6455838359797728)), ('pos;', np.float64(-2.549798842561338)), ('apos;', np.float64(-2.549798842561338)), ('os;', np.float64(-2.549382846016277)), ('apos', np.float64(-2.54426984309538)), ('&ap', np.float64(-2.5093489352386533)), ('&apos', np.float64(-2.5093489352386533)), ('&apo', np.float64(-2.5093489352386533))]",
RandomSplit,LR_WordNgram,"[('apos', np.float64(-8.064261746148508)), ('venus', np.float64(6.306380553160319)), ('driverless', np.float64(5.856710228810215)), ('years', np.float64(-5.685552293225558)), ('young', np.float64(-5.370731384637236)), ('driving', np.float64(5.236885846904147)), ('young people', np.float64(-4.909577025356954)), ('statement', np.float64(-4.561944466175568)), ('quot', np.float64(-4.350140297773991)), ('products', np.float64(-4.34139422706297)), ('face', np.float64(4.2189571898625555)), ('knowledge', np.float64(-4.193374942956712)), ('advice', np.float64(4.15634565887754)), ('driverless cars', np.float64(4.115316629739872)), ('successful', np.float64(-3.9719933074912377)), ('facts', np.float64(-3.918790296271872)), ('product', np.float64(-3.8853524746593378)), ('communities', np.float64(-3.8159822804117094)), ('concepts', np.float64(-3.7642272671898254)), ('advertisements', np.float64(-3.7039696012299372))]",
RandomSplit,SVM_WordNgram,"[('apos', np.float64(-2.8338334005158266)), ('statement', np.float64(-2.2235676933046578)), ('venus', np.float64(2.0006388898822953)), ('years', np.float64(-1.98040739414119)), ('driverless', np.float64(1.9294136933381612)), ('young people', np.float64(-1.886331766697197)), ('nowadays', np.float64(-1.7308052116151227)), ('communities', np.float64(-1.7248393175092234)), ('concepts', np.float64(-1.6964061430075)), ('driving', np.float64(1.6725161110314681)), ('young', np.float64(-1.66868098819645)), ('summer', np.float64(1.55030802202115)), ('advertisement', np.float64(-1.549122464598215)), ('products', np.float64(-1.501429966680813)), ('advertisements', np.float64(-1.4754560902496212)), ('agree', np.float64(-1.4310779950562673)), ('fewer', np.float64(-1.3922121294616234)), ('kids', np.float64(1.369854702733692)), ('example', np.float64(-1.3509944853763447)), ('dear', np.float64(1.349333992189024))]",
RandomSplit,LR_CharNgram_noTopWords,"[(' old', np.float64(-3.155177082770278)), (' ol', np.float64(-3.141429884229885)), (' a ', np.float64(3.0584181335744023)), (' &;', np.float64(-2.9144724514121947)), (' in', np.float64(-2.7355405568398967)), ('ncep', np.float64(-2.65307615035992)), ('oncep', np.float64(-2.641821702444879)), ('ncept', np.float64(-2.6251912319452497)), ('&;s', np.float64(-2.6055662893286198)), ('conce', np.float64(-2.5836142171000542)), ('cep', np.float64(-2.534660649423401)), ('nty', np.float64(-2.5057939438787464)), ('cept', np.float64(-2.4952153154272545)), (';s ', np.float64(-2.478802383830016)), ('&;s ', np.float64(-2.438175407897725)), ('epts', np.float64(-2.3849685143827846)), ('wen', np.float64(-2.384878237659702)), (' his', np.float64(-2.3655789295991596)), ('went', np.float64(-2.3625602682848514)), ('twe', np.float64(-2.3580752224146986))]","['cars', 'students', 'car', 'people', 'venus', 'driverless', 'school', 'like', 'help', 'think', 'face', 'just', 'time', 'student', 'make', 'technology', 'driverless cars', 'life', 'new', 'driving', 'know', 'electoral', 'good', 'use', 'things', 'planet', 'way', 'mars', 'vote', 'want', 'better', 'work', 'need', 'college', 'earth', 'don', 'world', 'able', 'electoral college', 'person', 'author', 'community', 'young', 'really', 'computer', 'idea', 'states', 'going', 'emotions', 'driver', 'learn', 'human', 'different', 'lot', 'learning', 'example', 'thing', 'reason', 'phones', 'president', 'facial', 'day', 'say', 'teacher', 'drive', 'having', 'teachers', 'class', 'nasa', 'apos', 'kids', 'believe', 'seagoing', 'home', 'young people', 'feel', 'doing', 'important', 'knowledge', 'phone', 'understand', 'facts', 'money', 'try', 'change', 'aliens', 'ideas', 'future', 'paragraph', 'text', 'great', 'years', 'article', 'tell', 'landform', 'fun', 'humans', 'used', 'reasons', 'best']"
