text_id,prompt_id,transformation_name,baseline_score,transformed_score,delta
0,0,less_formal,1,1,0
0,0,noisy_human,1,1,0
0,0,more_human_flow,1,1,0
1,0,less_formal,1,0,-1
1,0,noisy_human,1,1,0
1,0,more_human_flow,1,0,-1
2,0,less_formal,1,1,0
2,0,noisy_human,1,1,0
2,0,more_human_flow,1,1,0
3,0,less_formal,1,1,0
3,0,noisy_human,1,1,0
3,0,more_human_flow,1,1,0
4,0,less_formal,1,1,0
4,0,noisy_human,1,0,-1
4,0,more_human_flow,1,1,0
20,1,less_formal,1,1,0
20,1,noisy_human,1,1,0
20,1,more_human_flow,1,1,0
21,1,less_formal,1,0,-1
21,1,noisy_human,1,0,-1
21,1,more_human_flow,1,0,-1
22,1,less_formal,1,1,0
22,1,noisy_human,1,1,0
22,1,more_human_flow,1,1,0
23,1,less_formal,1,1,0
23,1,noisy_human,1,1,0
23,1,more_human_flow,1,1,0
24,1,less_formal,1,0,-1
24,1,noisy_human,1,1,0
24,1,more_human_flow,1,0,-1
40,2,less_formal,1,1,0
40,2,noisy_human,1,1,0
40,2,more_human_flow,1,1,0
41,2,less_formal,1,0,-1
41,2,noisy_human,1,1,0
41,2,more_human_flow,1,1,0
42,2,less_formal,1,1,0
42,2,noisy_human,1,0,-1
42,2,more_human_flow,1,0,-1
43,2,less_formal,1,0,-1
43,2,noisy_human,1,1,0
43,2,more_human_flow,1,1,0
44,2,less_formal,1,1,0
44,2,noisy_human,1,0,-1
44,2,more_human_flow,1,0,-1
60,3,less_formal,1,0,-1
60,3,noisy_human,1,0,-1
60,3,more_human_flow,1,0,-1
61,3,less_formal,1,1,0
61,3,noisy_human,1,1,0
61,3,more_human_flow,1,0,-1
62,3,less_formal,1,0,-1
62,3,noisy_human,1,0,-1
62,3,more_human_flow,1,0,-1
63,3,less_formal,0,0,0
63,3,noisy_human,0,0,0
63,3,more_human_flow,0,0,0
64,3,less_formal,0,0,0
64,3,noisy_human,0,0,0
64,3,more_human_flow,0,0,0
80,4,less_formal,1,1,0
80,4,noisy_human,1,1,0
80,4,more_human_flow,1,1,0
81,4,less_formal,1,0,-1
81,4,noisy_human,1,1,0
81,4,more_human_flow,1,0,-1
82,4,less_formal,1,1,0
82,4,noisy_human,1,0,-1
82,4,more_human_flow,1,0,-1
83,4,less_formal,1,1,0
83,4,noisy_human,1,0,-1
83,4,more_human_flow,1,1,0
84,4,less_formal,1,1,0
84,4,noisy_human,1,1,0
84,4,more_human_flow,1,0,-1
100,5,less_formal,1,0,-1
100,5,noisy_human,1,1,0
100,5,more_human_flow,1,1,0
101,5,less_formal,1,0,-1
101,5,noisy_human,1,0,-1
101,5,more_human_flow,1,0,-1
102,5,less_formal,1,0,-1
102,5,noisy_human,1,0,-1
102,5,more_human_flow,1,0,-1
103,5,less_formal,1,0,-1
103,5,noisy_human,1,1,0
103,5,more_human_flow,1,1,0
104,5,less_formal,1,0,-1
104,5,noisy_human,1,0,-1
104,5,more_human_flow,1,0,-1
120,6,less_formal,1,1,0
120,6,noisy_human,1,0,-1
120,6,more_human_flow,1,0,-1
121,6,less_formal,1,1,0
121,6,noisy_human,1,1,0
121,6,more_human_flow,1,1,0
122,6,less_formal,1,1,0
122,6,noisy_human,1,1,0
122,6,more_human_flow,1,1,0
123,6,less_formal,1,1,0
123,6,noisy_human,1,0,-1
123,6,more_human_flow,1,0,-1
124,6,less_formal,1,0,-1
124,6,noisy_human,1,1,0
124,6,more_human_flow,1,0,-1
140,7,less_formal,1,0,-1
140,7,noisy_human,1,0,-1
140,7,more_human_flow,1,0,-1
141,7,less_formal,0,0,0
141,7,noisy_human,0,0,0
141,7,more_human_flow,0,0,0
142,7,less_formal,1,0,-1
142,7,noisy_human,1,0,-1
142,7,more_human_flow,1,1,0
143,7,less_formal,1,0,-1
143,7,noisy_human,1,0,-1
143,7,more_human_flow,1,0,-1
144,7,less_formal,0,1,1
144,7,noisy_human,0,0,0
144,7,more_human_flow,0,0,0
160,8,less_formal,1,0,-1
160,8,noisy_human,1,1,0
160,8,more_human_flow,1,0,-1
161,8,less_formal,1,1,0
161,8,noisy_human,1,0,-1
161,8,more_human_flow,1,1,0
162,8,less_formal,1,0,-1
162,8,noisy_human,1,1,0
162,8,more_human_flow,1,1,0
163,8,less_formal,1,0,-1
163,8,noisy_human,1,1,0
163,8,more_human_flow,1,0,-1
164,8,less_formal,1,1,0
164,8,noisy_human,1,1,0
164,8,more_human_flow,1,1,0
180,9,less_formal,1,1,0
180,9,noisy_human,1,1,0
180,9,more_human_flow,1,1,0
181,9,less_formal,1,1,0
181,9,noisy_human,1,1,0
181,9,more_human_flow,1,0,-1
182,9,less_formal,1,1,0
182,9,noisy_human,1,0,-1
182,9,more_human_flow,1,0,-1
183,9,less_formal,1,1,0
183,9,noisy_human,1,0,-1
183,9,more_human_flow,1,0,-1
184,9,less_formal,1,0,-1
184,9,noisy_human,1,1,0
184,9,more_human_flow,1,1,0
