text_id,prompt_id,transformation_name,baseline_score,transformed_score,delta
0,0,less_formal,1,1,0
0,0,noisy_human,1,1,0
0,0,more_human_flow,1,1,0
1,0,less_formal,1,1,0
1,0,noisy_human,1,1,0
1,0,more_human_flow,1,0,-1
2,0,less_formal,1,1,0
2,0,noisy_human,1,1,0
2,0,more_human_flow,1,1,0
3,0,less_formal,1,1,0
3,0,noisy_human,1,1,0
3,0,more_human_flow,1,1,0
4,0,less_formal,1,1,0
4,0,noisy_human,1,0,-1
4,0,more_human_flow,1,0,-1
5,0,less_formal,1,1,0
5,0,noisy_human,1,1,0
5,0,more_human_flow,1,1,0
6,0,less_formal,1,1,0
6,0,noisy_human,1,1,0
6,0,more_human_flow,1,1,0
7,0,less_formal,1,1,0
7,0,noisy_human,1,1,0
7,0,more_human_flow,1,1,0
8,0,less_formal,1,0,-1
8,0,noisy_human,1,0,-1
8,0,more_human_flow,1,1,0
9,0,less_formal,1,1,0
9,0,noisy_human,1,1,0
9,0,more_human_flow,1,1,0
10,0,less_formal,1,0,-1
10,0,noisy_human,1,1,0
10,0,more_human_flow,1,1,0
11,0,less_formal,1,1,0
11,0,noisy_human,1,1,0
11,0,more_human_flow,1,0,-1
12,0,less_formal,1,1,0
12,0,noisy_human,1,1,0
12,0,more_human_flow,1,1,0
13,0,less_formal,1,1,0
13,0,noisy_human,1,1,0
13,0,more_human_flow,1,1,0
14,0,less_formal,1,1,0
14,0,noisy_human,1,1,0
14,0,more_human_flow,1,1,0
15,0,less_formal,1,1,0
15,0,noisy_human,1,1,0
15,0,more_human_flow,1,1,0
16,0,less_formal,1,1,0
16,0,noisy_human,1,1,0
16,0,more_human_flow,1,1,0
17,0,less_formal,1,1,0
17,0,noisy_human,1,1,0
17,0,more_human_flow,1,1,0
18,0,less_formal,1,0,-1
18,0,noisy_human,1,1,0
18,0,more_human_flow,1,1,0
19,0,less_formal,1,1,0
19,0,noisy_human,1,1,0
19,0,more_human_flow,1,1,0
20,1,less_formal,1,1,0
20,1,noisy_human,1,1,0
20,1,more_human_flow,1,1,0
21,1,less_formal,1,0,-1
21,1,noisy_human,1,0,-1
21,1,more_human_flow,1,0,-1
22,1,less_formal,1,0,-1
22,1,noisy_human,1,0,-1
22,1,more_human_flow,1,1,0
23,1,less_formal,1,1,0
23,1,noisy_human,1,1,0
23,1,more_human_flow,1,1,0
24,1,less_formal,1,1,0
24,1,noisy_human,1,1,0
24,1,more_human_flow,1,1,0
25,1,less_formal,1,1,0
25,1,noisy_human,1,1,0
25,1,more_human_flow,1,1,0
26,1,less_formal,1,1,0
26,1,noisy_human,1,1,0
26,1,more_human_flow,1,1,0
27,1,less_formal,1,1,0
27,1,noisy_human,1,1,0
27,1,more_human_flow,1,1,0
28,1,less_formal,1,0,-1
28,1,noisy_human,1,1,0
28,1,more_human_flow,1,0,-1
29,1,less_formal,1,0,-1
29,1,noisy_human,1,0,-1
29,1,more_human_flow,1,1,0
30,1,less_formal,1,1,0
30,1,noisy_human,1,1,0
30,1,more_human_flow,1,1,0
31,1,less_formal,1,1,0
31,1,noisy_human,1,1,0
31,1,more_human_flow,1,1,0
32,1,less_formal,1,0,-1
32,1,noisy_human,1,1,0
32,1,more_human_flow,1,1,0
33,1,less_formal,1,1,0
33,1,noisy_human,1,0,-1
33,1,more_human_flow,1,0,-1
34,1,less_formal,1,1,0
34,1,noisy_human,1,1,0
34,1,more_human_flow,1,1,0
35,1,less_formal,1,1,0
35,1,noisy_human,1,0,-1
35,1,more_human_flow,1,1,0
36,1,less_formal,1,0,-1
36,1,noisy_human,1,1,0
36,1,more_human_flow,1,1,0
37,1,less_formal,1,1,0
37,1,noisy_human,1,1,0
37,1,more_human_flow,1,1,0
38,1,less_formal,1,1,0
38,1,noisy_human,1,1,0
38,1,more_human_flow,1,1,0
39,1,less_formal,1,1,0
39,1,noisy_human,1,1,0
39,1,more_human_flow,1,1,0
40,2,less_formal,1,0,-1
40,2,noisy_human,1,0,-1
40,2,more_human_flow,1,1,0
41,2,less_formal,1,1,0
41,2,noisy_human,1,1,0
41,2,more_human_flow,1,1,0
42,2,less_formal,1,1,0
42,2,noisy_human,1,0,-1
42,2,more_human_flow,1,1,0
43,2,less_formal,1,1,0
43,2,noisy_human,1,1,0
43,2,more_human_flow,1,1,0
44,2,less_formal,1,0,-1
44,2,noisy_human,1,0,-1
44,2,more_human_flow,1,1,0
45,2,less_formal,1,0,-1
45,2,noisy_human,1,1,0
45,2,more_human_flow,1,1,0
46,2,less_formal,1,0,-1
46,2,noisy_human,1,1,0
46,2,more_human_flow,1,1,0
47,2,less_formal,1,1,0
47,2,noisy_human,1,0,-1
47,2,more_human_flow,1,0,-1
48,2,less_formal,1,0,-1
48,2,noisy_human,1,1,0
48,2,more_human_flow,1,1,0
