text_id,prompt_id,transformation_name,baseline_score,transformed_score,delta
0,0,punctuation_variation,1,0,-1
0,0,comma_irregularity,1,1,0
0,0,non_intrusive_typos,1,1,0
1,0,punctuation_variation,1,1,0
1,0,comma_irregularity,1,1,0
1,0,non_intrusive_typos,1,1,0
2,0,punctuation_variation,1,1,0
2,0,comma_irregularity,1,0,-1
2,0,non_intrusive_typos,1,1,0
3,0,punctuation_variation,1,1,0
3,0,comma_irregularity,1,1,0
3,0,non_intrusive_typos,1,1,0
4,0,punctuation_variation,1,0,-1
4,0,comma_irregularity,1,1,0
4,0,non_intrusive_typos,1,0,-1
5,0,punctuation_variation,1,1,0
5,0,comma_irregularity,1,1,0
5,0,non_intrusive_typos,1,0,-1
6,0,punctuation_variation,1,0,-1
6,0,comma_irregularity,1,0,-1
6,0,non_intrusive_typos,1,1,0
7,0,punctuation_variation,1,1,0
7,0,comma_irregularity,1,1,0
7,0,non_intrusive_typos,1,1,0
8,0,punctuation_variation,1,1,0
8,0,comma_irregularity,1,1,0
8,0,non_intrusive_typos,1,1,0
9,0,punctuation_variation,1,1,0
9,0,comma_irregularity,1,1,0
9,0,non_intrusive_typos,1,1,0
10,0,punctuation_variation,1,0,-1
10,0,comma_irregularity,1,1,0
10,0,non_intrusive_typos,1,1,0
11,0,punctuation_variation,1,1,0
11,0,comma_irregularity,1,1,0
11,0,non_intrusive_typos,1,1,0
12,0,punctuation_variation,1,1,0
12,0,comma_irregularity,1,1,0
12,0,non_intrusive_typos,1,1,0
13,0,punctuation_variation,1,1,0
13,0,comma_irregularity,1,1,0
13,0,non_intrusive_typos,1,1,0
14,0,punctuation_variation,1,1,0
14,0,comma_irregularity,1,1,0
14,0,non_intrusive_typos,1,1,0
15,0,punctuation_variation,1,1,0
15,0,comma_irregularity,1,1,0
15,0,non_intrusive_typos,1,1,0
16,0,punctuation_variation,1,1,0
16,0,comma_irregularity,1,1,0
16,0,non_intrusive_typos,1,1,0
17,0,punctuation_variation,1,1,0
17,0,comma_irregularity,1,1,0
17,0,non_intrusive_typos,1,1,0
18,0,punctuation_variation,1,1,0
18,0,comma_irregularity,1,1,0
18,0,non_intrusive_typos,1,1,0
19,0,punctuation_variation,1,1,0
19,0,comma_irregularity,1,1,0
19,0,non_intrusive_typos,1,1,0
20,1,punctuation_variation,1,1,0
20,1,comma_irregularity,1,1,0
20,1,non_intrusive_typos,1,1,0
21,1,punctuation_variation,1,0,-1
21,1,comma_irregularity,1,0,-1
21,1,non_intrusive_typos,1,0,-1
22,1,punctuation_variation,1,1,0
22,1,comma_irregularity,1,1,0
22,1,non_intrusive_typos,1,1,0
23,1,punctuation_variation,1,1,0
23,1,comma_irregularity,1,1,0
23,1,non_intrusive_typos,1,1,0
24,1,punctuation_variation,1,1,0
24,1,comma_irregularity,1,1,0
24,1,non_intrusive_typos,1,0,-1
25,1,punctuation_variation,1,1,0
25,1,comma_irregularity,1,0,-1
25,1,non_intrusive_typos,1,1,0
26,1,punctuation_variation,1,1,0
26,1,comma_irregularity,1,1,0
26,1,non_intrusive_typos,1,1,0
27,1,punctuation_variation,1,1,0
27,1,comma_irregularity,1,1,0
27,1,non_intrusive_typos,1,1,0
28,1,punctuation_variation,1,1,0
28,1,comma_irregularity,1,1,0
28,1,non_intrusive_typos,1,1,0
29,1,punctuation_variation,1,1,0
29,1,comma_irregularity,1,1,0
29,1,non_intrusive_typos,1,1,0
30,1,punctuation_variation,1,1,0
30,1,comma_irregularity,1,1,0
30,1,non_intrusive_typos,1,0,-1
31,1,punctuation_variation,1,1,0
31,1,comma_irregularity,1,1,0
31,1,non_intrusive_typos,1,1,0
32,1,punctuation_variation,1,1,0
32,1,comma_irregularity,1,1,0
32,1,non_intrusive_typos,1,1,0
33,1,punctuation_variation,1,1,0
33,1,comma_irregularity,1,1,0
33,1,non_intrusive_typos,1,1,0
34,1,punctuation_variation,1,1,0
34,1,comma_irregularity,1,1,0
34,1,non_intrusive_typos,1,1,0
35,1,punctuation_variation,1,0,-1
35,1,comma_irregularity,1,0,-1
35,1,non_intrusive_typos,1,1,0
36,1,punctuation_variation,1,1,0
36,1,comma_irregularity,1,1,0
36,1,non_intrusive_typos,1,1,0
37,1,punctuation_variation,1,1,0
37,1,comma_irregularity,1,1,0
37,1,non_intrusive_typos,1,1,0
38,1,punctuation_variation,1,1,0
38,1,comma_irregularity,1,1,0
38,1,non_intrusive_typos,1,1,0
39,1,punctuation_variation,1,1,0
39,1,comma_irregularity,1,0,-1
39,1,non_intrusive_typos,1,0,-1
40,2,punctuation_variation,1,0,-1
40,2,comma_irregularity,1,1,0
40,2,non_intrusive_typos,1,1,0
41,2,punctuation_variation,1,1,0
41,2,comma_irregularity,1,0,-1
41,2,non_intrusive_typos,1,1,0
42,2,punctuation_variation,1,1,0
42,2,comma_irregularity,1,1,0
42,2,non_intrusive_typos,1,1,0
43,2,punctuation_variation,1,0,-1
43,2,comma_irregularity,1,1,0
43,2,non_intrusive_typos,1,1,0
44,2,punctuation_variation,1,1,0
44,2,comma_irregularity,1,1,0
44,2,non_intrusive_typos,1,0,-1
45,2,punctuation_variation,1,1,0
45,2,comma_irregularity,1,0,-1
45,2,non_intrusive_typos,1,1,0
46,2,punctuation_variation,1,1,0
46,2,comma_irregularity,1,0,-1
46,2,non_intrusive_typos,1,1,0
47,2,punctuation_variation,1,0,-1
47,2,comma_irregularity,1,0,-1
47,2,non_intrusive_typos,1,1,0
48,2,punctuation_variation,1,1,0
48,2,comma_irregularity,1,1,0
48,2,non_intrusive_typos,1,1,0
49,2,punctuation_variation,1,0,-1
49,2,comma_irregularity,1,1,0
49,2,non_intrusive_typos,1,1,0
50,2,punctuation_variation,1,1,0
50,2,comma_irregularity,1,1,0
50,2,non_intrusive_typos,1,1,0
51,2,punctuation_variation,1,1,0
51,2,comma_irregularity,1,0,-1
51,2,non_intrusive_typos,1,0,-1
52,2,punctuation_variation,1,0,-1
